Name,Ticker,Weight,Sector,Shares Held
LAS VEGAS SANDS CORP,LVS,0.031753,Others,4398021
ULTA BEAUTY INC,ULTA,0.03161,Others,595601
JACOBS SOLUTIONS INC,J,0.031601,Others,1570046
DOMINO S PIZZA INC,DPZ,0.031425,Others,436137
JABIL INC,JBL,0.0314,Others,1425602
APTIV PLC,APTV,0.031161,Others,2969851
WESTERN DIGITAL CORP,WDC,0.030986,Others,4368265
GEN DIGITAL INC,GEN,0.030487,Others,6860742
ROLLINS INC,ROL,0.030461,Others,3557885
FIRST SOLAR INC,FSLR,0.030323,Others,1352841
BUILDERS FIRSTSOURCE INC,BLDR,0.030146,Others,1454611
AVERY DENNISON CORP,AVY,0.030131,Others,1015024
HOLOGIC INC,HOLX,0.029976,Others,2926141
HEALTHPEAK PROPERTIES INC,DOC,0.029877,Others,8838251
ZEBRA TECHNOLOGIES CORP CL A,ZBRA,0.0298,Others,649842
AMCOR PLC,AMCR,0.029752,Others,18306497
TERADYNE INC,TER,0.02964,Others,2058159
PENTAIR PLC,PNR,0.029597,Others,2087757
BEST BUY CO INC,BBY,0.029296,Others,2469217
KIMCO REALTY CORP,KIM,0.028829,Others,8485753
IDEX CORP,IEX,0.0287,Others,954132
REVVITY INC,RVTY,0.028641,Others,1538307
DOLLAR TREE INC,DLTR,0.028506,Others,2559143
CF INDUSTRIES HOLDINGS INC,CF,0.028505,Others,2198676
TEXTRON INC,TXT,0.028473,Others,2344180
JACK HENRY + ASSOCIATES INC,JKHY,0.027325,Others,923491
UDR INC,UDR,0.027297,Others,3801215
CAMDEN PROPERTY TRUST,CPT,0.02662,Information Technology,1351014
CONAGRA BRANDS INC,CAG,0.026272,Others,6031341
STANLEY BLACK + DECKER INC,SWK,0.026138,Others,1950559
POOL CORP,POOL,0.026014,Others,480558
JM SMUCKER CO/THE,SJM,0.025436,Others,1348579
HUNT (JB) TRANSPRT SVCS INC,JBHT,0.025389,Others,1006753
AKAMAI TECHNOLOGIES INC,AKAM,0.025197,Others,1898007
JUNIPER NETWORKS INC,JNPR,0.025028,Others,4170356
MODERNA INC,MRNA,0.0248,Others,4284228
REGENCY CENTERS CORP,REG,0.024575,Others,2068647
C.H. ROBINSON WORLDWIDE INC,CHRW,0.024149,Others,1485593
FOX CORP   CLASS A,FOXA,0.024073,Others,2794613
ALIGN TECHNOLOGY INC,ALGN,0.023934,Others,883523
NORDSON CORP,NDSN,0.023402,Others,686480
INCYTE CORP,INCY,0.023135,Others,2024497
ALLEGION PLC,ALLE,0.023075,Others,1098392
SKYWORKS SOLUTIONS INC,SWKS,0.022938,Others,2022857
VIATRIS INC,VTRS,0.02291,Others,15116601
LKQ CORP,LKQ,0.022886,Others,3285066
CARMAX INC,KMX,0.022879,Others,1957594
ERIE INDEMNITY COMPANY CL A,ERIE,0.022334,Others,316385
ASSURANT INC,AIZ,0.022313,Others,647978
PINNACLE WEST CAPITAL,PNW,0.022291,Others,1438500
EASTMAN CHEMICAL CO,EMN,0.022175,Others,1464613
BUNGE GLOBAL SA,BG,0.021912,Others,1764334
MOLSON COORS BEVERAGE CO   B,TAP,0.021891,Others,2207450
GLOBE LIFE INC,GL,0.021825,Others,1060417
EPAM SYSTEMS INC,EPAM,0.021782,Others,716405
HOST HOTELS + RESORTS INC,HST,0.021646,Others,8833231
SOLVENTUM CORP,SOLV,0.021347,Others,1749485
