Price,Close,High,Low,Open,Volume
Ticker,VUG,VUG,VUG,VUG,VUG
Date,,,,,
16/11/20,233.6791229248047,233.91283148419035,231.49774892770571,232.54948202312517,881800
17/11/20,233.18246459960938,234.0394356167285,232.20863930175392,233.43566868706446,757200
18/11/20,231.05955505371094,233.6207057317584,231.05955505371094,233.17275437244197,835600
19/11/20,232.87091064453125,233.1533135184644,230.0955018580287,230.74796319933517,705700
20/11/20,231.14720153808594,233.2214544309851,231.08877439057832,233.0461581290657,492300
23/11/20,231.4782715,233.2019464308178,229.8811986,232.12099975042418,801200
24/11/20,234.11737060546875,234.61401621565506,231.26405442458773,232.47160328351094,690800
25/11/20,235.4417724609375,235.81181601065765,234.20501003525544,234.70165564270425,649800
27/11/20,237.0388641357422,237.60368469842004,236.25980077827626,236.7077670381234,303200
30/11/20,237.29205322265625,237.58420383889796,233.70838258432423,237.18493182534755,747700
1/12/20,239.86294555664062,240.92441173683576,238.34378022362787,239.23969785952264,592300
2/12/20,239.22996520996094,239.40524665962022,236.8635616237802,238.66514466206348,664900
3/12/20,239.1033477783203,240.7685957400432,238.67486222749588,239.35653703135463,563900
4/12/20,240.53482055664062,240.53482055664062,239.04486921319912,239.44414110507378,457000
7/12/20,241.46974182128906,241.80083887608697,240.43747446199652,240.5348629413586,551500
8/12/20,241.97613525390625,242.46304796200053,239.89214945763857,240.924402,632100
9/12/20,237.6426239013672,242.27802770425632,236.74670626850948,242.22934831916615,820300
10/12/20,238.48983764648438,239.2494202797024,235.49046845138565,236.1137161211901,567400
11/12/20,238.2074432373047,238.27560329172314,235.77287961927058,237.4575935,561300
14/12/20,238.84043884277344,241.39187177919317,238.84043884277344,239.44422076237709,732300
15/12/20,241.7618865966797,241.7618865966797,239.47340583990447,240.8075418726448,690200
16/12/20,242.98890686035156,243.5147660141774,241.39183387173787,242.06377574452335,871800
17/12/20,245.07290649414062,245.2287221,244.2159354,244.40096458305916,714100
18/12/20,244.99501037597656,245.96883583345667,243.1544809,245.72537946908665,737100
21/12/20,244.59571838378906,244.96577678239743,240.41801405073616,242.60912115100913,785500
22/12/20,245.61822509765625,246.0564435228076,243.6705744441878,245.40398233702308,801200
23/12/20,244.02117919921875,245.86170867634263,243.96275205064288,245.85197577137896,747600
24/12/20,245.12461853027344,245.52462645572848,244.26606783891347,244.4514380915285,341700
28/12/20,247.2807159423828,247.81729517225088,245.3489771224366,247.2124153789982,674300
29/12/20,246.7539063,248.96856869460342,246.23682863634338,248.65636302541452,765000
30/12/20,246.7051239013672,248.10026880384805,246.40268396156117,247.8075797087247,691000
31/12/20,247.16366577148438,247.5734245484419,245.59291634975438,246.91976067423926,924200
4/1/21,243.57334899902344,248.4026661364616,240.46111809871482,248.25632905739323,1299500
5/1/21,245.15390014648438,245.42707267559274,242.77338391843762,242.77338391843762,929800
6/1/21,242.47093200683594,245.6416982438809,240.95871743950354,241.8758029791807,1293900
7/1/21,248.0709991455078,248.63686075449957,244.30510386874474,244.3929061304541,1024400
8/1/21,250.7246856689453,250.85152108906757,247.7490552563024,249.5539441261431,882600
11/1/21,247.3490447998047,249.3783370672696,246.84171801124188,248.19782980454943,790800
12/1/21,246.87098693847656,248.08076163033877,244.81242723669354,247.3685628850809,3546800
13/1/21,247.8075714111328,248.6856237803164,246.41244144215227,246.74414879168515,987000
14/1/21,245.39776611328125,248.85147021681442,245.12459362774328,248.30511035895458,1030700
15/1/21,244.01239013671875,246.16851751728305,243.2026235135559,245.30996690250137,853500
19/1/21,246.7246094,247.09534984120583,244.61726601990995,245.8953261911556,927500
20/1/21,252.51004028320312,253.14418749107142,248.99780142803698,248.99780142803698,902200
21/1/21,253.71983337402344,254.24667671526916,252.52957532073262,253.26129060496294,798100
22/1/21,253.50523376464844,254.35401885803307,252.9296212274517,253.09548981715443,829200
25/1/21,255.13449096679688,256.50035352194834,249.83684976133296,255.58326799772436,868700
26/1/21,254.72471618652344,255.9052084853705,254.4222762568483,255.51496629613524,775800
27/1/21,248.2075958251953,252.9783642198059,246.17830355536867,252.9783642198059,942200
28/1/21,249.71002197265625,253.26127939952536,248.7148850618325,249.15392612237395,776200
29/1/21,244.65631103515625,248.9587853,243.26116624087354,248.30512149278795,935000
1/2/21,250.529541,251.2709921852926,246.06119832937082,247.56364701624994,793000
2/2/21,255.0075684,255.84658729437334,253.03679684250454,253.03679684250454,737300
3/2/21,254.37355041503906,256.7638028,254.10037785875303,256.51016174846677,685300
4/2/21,257.3685607910156,257.3685607910156,254.86123985622285,255.64172399744402,588900
