Name,Ticker,Weight,Industry,Shares Held
WELLS FARGO + CO,WFC,0.0048592,Financials,42056956
INTL BUSINESS MACHINES CORP,IBM,0.0048451,Information Technology,11679621
ABBOTT LABORATORIES,ABT,0.0048026,Health Care,21908380
LINDE PLC,LIN,0.0046009,Materials,6014537
MCDONALD S CORP,MCD,0.0045446,Consumer Discretionary,9051537
GENERAL ELECTRIC,GE,0.0044395,Industrials,13670626
PEPSICO INC,PEP,0.0043384,Consumer Staples,17329383
ACCENTURE PLC CL A,ACN,0.0042235,Unknown,7892666
THERMO FISHER SCIENTIFIC INC,TMO,0.0041462,Health Care,4831617
AT+T INC,T,0.0039921,Communication Services,90664291
VERIZON COMMUNICATIONS INC,VZ,0.0039239,Communication Services,53191699
WALT DISNEY CO/THE,DIS,0.0037395,Communication Services,22873633
RTX CORP,RTX,0.0036673,Industrials,16818611
INTUITIVE SURGICAL INC,ISRG,0.0036213,Information Technology,4500436
QUALCOMM INC,QCOM,0.0035974,Information Technology,14028851
AMGEN INC,AMGN,0.0035812,Health Care,6787266
SERVICENOW INC,NOW,0.0035655,Unknown,2602982
ADOBE INC,ADBE,0.0035456,Information Technology,5560270
GOLDMAN SACHS GROUP INC,GS,0.0035121,Financials,3965225
PROGRESSIVE CORP,PGR,0.0034905,Unknown,7402356
PALANTIR TECHNOLOGIES INC A,PLTR,0.0034782,Unknown,25884785
INTUIT INC,INTU,0.0034723,Information Technology,3539297
CATERPILLAR INC,CAT,0.0034294,Industrials,6096446
ADVANCED MICRO DEVICES,AMD,0.0033939,Information Technology,20497297
TEXAS INSTRUMENTS INC,TXN,0.0033771,Unknown,11526702
S+P GLOBAL INC,SPGI,0.0032468,Consumer Staples,4009271
NEXTERA ENERGY INC,NEE,0.0031870,Utilities,25964730
UBER TECHNOLOGIES INC,UBER,0.0031191,Consumer Discretionary,26588309
PFIZER INC,PFE,0.0030914,Health Care,71552477
AMERICAN EXPRESS CO,AXP,0.0030411,Financials,7026962
BOOKING HOLDINGS INC,BKNG,0.0030310,Consumer Discretionary,418104
UNION PACIFIC CORP,UNP,0.0030267,Industrials,7654576
BOSTON SCIENTIFIC CORP,BSX,0.0029952,Unknown,18609059
GILEAD SCIENCES INC,GILD,0.0029918,Unknown,15748921
MORGAN STANLEY,MS,0.0029523,Financials,15663510
HONEYWELL INTERNATIONAL INC,HON,0.0028638,Industrials,8209853
COMCAST CORP CLASS A,CMCSA,0.0028224,Communication Services,48194369
DANAHER CORP,DHR,0.0027955,Unknown,8116208
BLACKROCK INC,BLK,0.0027947,Financials,1838982
VERTEX PHARMACEUTICALS INC,VRTX,0.0027623,Unknown,3254457
TJX COMPANIES INC,TJX,0.0027112,Unknown,14240625
CITIGROUP INC,C,0.0027095,Financials,23880148
LOWE S COS INC,LOW,0.0026915,Unknown,7162525
T MOBILE US INC,TMUS,0.0026907,Communication Services,6153346
SCHWAB (CHARLES) CORP,SCHW,0.0026711,Unknown,21530520
STRYKER CORP,SYK,0.0026588,Unknown,4332101
CONOCOPHILLIPS,COP,0.0026513,Energy,16331837
APPLIED MATERIALS INC,AMAT,0.0026343,Unknown,10409535
BRISTOL MYERS SQUIBB CO,BMY,0.0026050,Health Care,25605655
FISERV INC,FI,0.0025390,Unknown,7182741
BOEING CO/THE,BA,0.0025378,Industrials,9438481
DEERE + CO,DE,0.0025326,Industrials,3212771
MEDTRONIC PLC,MDT,0.0025230,Unknown,16191485
AUTOMATIC DATA PROCESSING,ADP,0.0025092,Unknown,5144270
